name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
front_isp,isp0,non_coherent_dma,0,2196081.0,1431297.0,1686978.8181818181,0.55,8,1208032.6818181819,732290.0,255681.81818181815,4684800,143181.81818181815
lane_segmentation,vision0,spad,2196081.0,2912337.0,2294617.0,2891207.909090909,0.55,8,96268.59090909082,23328.0,596590.9090909091,0,715909.0909090908
traffic_sign_classify,nvdla1,coherent_dma,2196081.0,3083899.0,3017257.0,3081177.4545454546,0.55,8,103594.04545454541,720283.0,63920.45454545454,0,112499.99999999999
vehicle_pedestrian_detect,nvdla0,spad,2196081.0,3544151.0,3258823.0,3525158.227272727,0.55,8,175345.27272727294,906377.0,266335.22727272724,0,468749.99999999994
object_tracking,ad,coherent_dma,3544151.0,4625027.0,3590599.0,4613326.2727272725,0.55,8,52944.22727272753,5184.0,1022727.2727272726,0,368181.8181818181
localization_ekf,gps,coherent_dma,4625027.0,4927849.0,4639911.0,4924001.909090909,0.55,8,16054.590909090824,2624.0,284090.90909090906,0,124999.99999999999
collision_risk,matrix,coherent_dma_l2_flush,4927849.0,5118887.0,4946919.0,5117373.545454546,0.55,8,9218.954545454122,11304.0,170454.54545454544,69632,177272.72727272724
