name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
nvdla,nvdla0,spad,0,450338.5909090909,139271.0,441117.5909090909,0.55,8,139270.0,9222.0,301846.5909090909,0,531249.9999999999
nlp,nlp0,spad,200,1141622.4545454546,205009.0,1128304.4545454546,0.55,8,208905.0,9222.0,923295.4545454545,0,1107954.5454545454
vision,vision0,coherent_dma,400,609871.3636363635,172454.0,598590.3636363635,0.55,8,174095.0,9240.0,426136.3636363636,0,511363.6363636363
crypto,crypto,coherent_dma,600,1179134.8181818181,667230.3636363635,1121775.8181818181,0.55,8,147465.0,576524.3636363635,454545.45454545453,0,254545.45454545453
viterbi,viterbi0,coherent_dma,800,739483.1818181818,54066.0,735884.1818181818,0.55,8,52233.0,4632.0,681818.1818181818,0,272727.2727272727
