name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
audio_decode,audio_decode,direct_stream,0,391149.0,50223.0,391132.0909090909,0.55,8,33814.0,16413.0,340909.0909090909,0,163636.36363636362
fft,fft0,direct_stream,391149.0,814509.0,458784.5,799693.5909090908,0.55,8,80345.40909090918,2077.0,340909.0909090909,0,218181.81818181815
