name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
analytics,ad,coherent_dma_l2_flush,0,1556435.0,502071.0,1524798.2727272725,0.55,8,359183.2272727275,174504.0,1022727.2727272726,1114112,368181.8181818181
navigation,gps,coherent_dma,0,1818591.0,1583791.0,1811063.7272727273,0.55,8,57236.772727272706,1534029.0,227272.72727272726,0,100000.0
nlp,nlp0,spad,0,2554941.0,2030271.0,2527430.090909091,0.55,8,228244.40909090918,1829485.0,497159.0909090909,0,596590.909090909
secure,aes0,spad,0,3133647.0,2603261.0,3057806.4545454546,0.55,8,135232.0454545454,2543841.0,454545.45454545453,0,200000.0
vision,nvdla0,spad,0,3500659.0,3285167.0,3462723.8181818184,0.55,8,169006.18181818165,3154083.5,177556.81818181818,0,312500.0
