name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
front_isp,isp0,non_coherent_dma,0,3023157.8181818184,2268140.0,2523821.8181818184,0.55,8,2035212.0,732264.0,255681.81818181815,4684800,143181.81818181815
lane_segmentation,vision0,spad,3023157.8181818184,3813037.7272727275,3195962.8181818184,3792553.7272727275,0.55,8,169987.0,23302.0,596590.9090909091,0,715909.0909090908
traffic_sign_classify,nvdla1,coherent_dma,3023157.8181818184,3310852.272727273,3244357.8181818184,3308278.272727273,0.55,8,198662.0,25112.0,63920.45454545454,0,112499.99999999999
vehicle_pedestrian_detect,nvdla0,spad,3023157.8181818184,3634337.0454545454,3349564.8181818184,3615900.0454545454,0.55,8,323590.0,21254.0,266335.22727272724,0,468749.99999999994
object_tracking,ad,coherent_dma,3634337.0454545454,4754383.318181818,3720375.0454545454,4743102.318181818,0.55,8,92175.0,5144.0,1022727.2727272726,0,368181.8181818181
localization_ekf,gps,coherent_dma,4754383.318181818,5068715.2272727275,4781025.318181818,5065116.2272727275,0.55,8,27657.0,2584.0,284090.90909090906,0,124999.99999999999
collision_risk,matrix,coherent_dma_l2_flush,5068715.2272727275,5267255.772727273,5095515.2272727275,5265969.772727273,0.55,8,16902.0,11184.0,170454.54545454544,69632,177272.72727272724
