name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
control_isp,isp0,spad,0,574057.4545454546,367207.0,509252.45454545453,0.55,8,403206.00000000006,28806.0,142045.45454545453,0,79545.45454545453
lane_geometry,vision0,spad,574057.4545454546,838370.0909090909,638862.4545454546,837726.0909090909,0.55,8,58115.0,7334.0,198863.63636363635,0,238636.36363636362
pilotnet_inference,nvdla0,spad,574057.4545454546,782272.7272727273,696464.4545454546,781691.7272727273,0.55,8,115718.0,7270.0,85227.27272727272,0,150000.0
steering_throttle_brake,matrix,coherent_dma_l2_flush,782272.7272727273,803028.1818181819,785776.7272727273,802822.1818181819,0.55,8,2086.0,1624.0,17045.454545454544,8448,17727.272727272728
