time_ns,transaction,phase,location,vc,detail
303529.0,event_denoise:irq_raise,RESP_ROUTER,tile6->tile12,3,plane=0; flits=1
303533.0,event_denoise:irq_raise,RESP_ROUTER,tile12->tile18,3,plane=0; flits=1
303537.0,event_denoise:irq_raise,RESP_ROUTER,tile18->tile24,1,plane=1; flits=1
303538.5,event_denoise:irq_deliver,BEGIN_REQ,tile0,,IRQ_DELIVER
303538.5,event_denoise:irq_raise,END_RESP,tile24,,IRQ_RAISE
303541.0,event_denoise:irq_deliver,BEGIN_RESP,tile0,,IRQ_DELIVER
303541.0,event_denoise:irq_deliver,END_REQ,tile0,,IRQ_DELIVER
303541.0,event_denoise:irq_deliver,REQ_LOCAL,tile0,,16 B
303543.0,event_denoise:irq_deliver,END_RESP,tile0,,IRQ_DELIVER
303543.0,event_denoise:irq_deliver,RESP_LOCAL,tile0,,16 B
303543.0,event_lane:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
303543.0,event_object_detect:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
303545.0,event_lane:mmio,REQ_ROUTER,tile0->tile1,0,plane=0; flits=1
303545.0,event_object_detect:mmio,REQ_ROUTER,tile0->tile1,2,plane=0; flits=1
303549.0,event_lane:mmio,REQ_ROUTER,tile1->tile2,0,plane=0; flits=1
303549.0,event_object_detect:mmio,REQ_ROUTER,tile1->tile2,2,plane=0; flits=1
303550.5,event_object_detect:mmio,END_REQ,tile2,,MMIO_PROGRAM
303553.0,event_lane:mmio,REQ_ROUTER,tile2->tile3,0,plane=0; flits=1
303554.5,event_object_detect:mmio,BEGIN_RESP,tile2,,MMIO_PROGRAM
303557.0,event_lane:mmio,REQ_ROUTER,tile3->tile4,0,plane=0; flits=1
303557.0,event_object_detect:mmio,RESP_ROUTER,tile2->tile1,0,plane=0; flits=1
303561.0,event_lane:mmio,REQ_ROUTER,tile4->tile5,0,plane=0; flits=1
303561.0,event_object_detect:mmio,RESP_ROUTER,tile1->tile0,0,plane=0; flits=1
303562.5,event_object_detect:iommu_read,BEGIN_REQ,tile2,,IOMMU_TRANSLATE
303562.5,event_object_detect:mmio,END_RESP,tile0,,MMIO_PROGRAM
303565.0,event_lane:mmio,REQ_ROUTER,tile5->tile11,0,plane=0; flits=1
303565.0,event_object_detect:iommu_read,REQ_ROUTER,tile2->tile1,1,plane=0; flits=2
303569.0,event_lane:mmio,REQ_ROUTER,tile11->tile17,0,plane=0; flits=1
303569.0,event_object_detect:iommu_read,REQ_ROUTER,tile1->tile7,0,plane=0; flits=2
303571.5,event_object_detect:iommu_read,END_REQ,tile7,,IOMMU_TRANSLATE
303573.0,event_lane:mmio,REQ_ROUTER,tile17->tile23,0,plane=0; flits=1
303574.5,event_lane:mmio,END_REQ,tile23,,MMIO_PROGRAM
303578.5,event_lane:mmio,BEGIN_RESP,tile23,,MMIO_PROGRAM
303581.0,event_lane:mmio,RESP_ROUTER,tile23->tile22,0,plane=0; flits=1
303585.0,event_lane:mmio,RESP_ROUTER,tile22->tile21,2,plane=0; flits=1
303589.0,event_lane:mmio,RESP_ROUTER,tile21->tile20,2,plane=0; flits=1
303593.0,event_lane:mmio,RESP_ROUTER,tile20->tile19,2,plane=0; flits=1
303597.0,event_lane:mmio,RESP_ROUTER,tile19->tile18,2,plane=0; flits=1
303601.0,event_lane:mmio,RESP_ROUTER,tile18->tile12,2,plane=0; flits=1
303605.0,event_lane:mmio,RESP_ROUTER,tile12->tile6,2,plane=0; flits=1
303609.0,event_lane:mmio,RESP_ROUTER,tile6->tile0,2,plane=0; flits=1
303610.5,event_lane:iommu_read,BEGIN_REQ,tile23,,IOMMU_TRANSLATE
