name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
control_isp,isp0,spad,0,408763.0,199957.0,342002.45454545453,0.55,8,237809.04545454547,28832.0,142045.45454545453,0,79545.45454545453
lane_geometry,vision0,spad,408763.0,645457.0,445799.0,644662.6363636364,0.55,8,30401.863636363647,7360.0,198863.63636363635,0,238636.36363636362
pilotnet_inference,nvdla0,spad,408763.0,797193.0,711325.0,796552.2727272727,0.55,8,59977.227272727294,243213.0,85227.27272727272,0,150000.0
steering_throttle_brake,matrix,coherent_dma_l2_flush,797193.0,817375.0,799911.0,816956.4545454546,0.55,8,1332.0454545454122,1744.0,17045.454545454544,8448,17727.272727272728
