name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
event_denoise,vision1,spad,0,303543.0,88687.0,259141.54545454544,0.55,8,126875.95454545456,6176.0,170454.54545454544,0,204545.45454545453
event_lane,vision0,spad,303543.0,572619.0,314175.0,569856.8181818181,0.55,8,10733.681818181882,2592.0,255681.81818181815,0,306818.18181818177
event_object_detect,nvdla1,spad,303543.0,703671.0,597321.0,696752.8181818181,0.55,8,31764.68181818188,268911.0,99431.81818181818,0,175000.0
temporal_tracking,ad,coherent_dma,703671.0,1513833.0,715367.0,1510821.5454545454,0.55,8,13342.954545454588,1344.0,795454.5454545454,0,286363.63636363635
hazard_alert,matrix,coherent_dma_l2_flush,1513833.0,1529753.0,1516551.0,1529335.0909090908,0.55,8,1331.4090909091756,1744.0,12784.090909090908,8448,13295.454545454544
