name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
nir_isp,isp0,spad,0,401648.36363636365,244807.0,358443.36363636365,0.55,8,268806.0,19206.0,113636.36363636363,0,63636.36363636363
face_detect,vision1,spad,401648.36363636365,836494.0909090909,598461.3636363636,825734.0909090909,0.55,8,202255.0,5318.0,227272.72727272726,0,272727.2727272727
eye_gaze_blink,nlp0,coherent_dma,836494.0909090909,926964.3636363636,841628.0909090909,926855.3636363636,0.55,8,4163.0,1080.0,85227.27272727272,0,102272.72727272726
driver_state,nvdla0,coherent_dma,926964.3636363636,961607.5909090909,929538.3636363636,961498.5909090909,0.55,8,2115.0,568.0,31960.22727272727,0,56249.99999999999
attention_alert,matrix,coherent_dma_l2_flush,961607.5909090909,977858.1363636364,963447.5909090909,977652.1363636364,0.55,8,1062.0,984.0,14204.545454545454,4352,14772.727272727272
hand_tracking,ad,spad,401648.36363636365,1581861.0,444853.36363636365,1581217.0,0.55,8,38915.0,4934.0,1136363.6363636362,0,409090.90909090906
head_pose,vision1,spad,836494.0909090909,978266.9090909092,878491.0909090909,977922.9090909092,0.55,8,41295.0,1046.0,99431.81818181818,0,119318.18181818181
