name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
front_isp,isp0,non_coherent_dma,0,3023157.8181818184,2268140.0,2523821.8181818184,0.55,8,2035212.0,732264.0,255681.81818181815,4684800,143181.81818181815
front_detect,nvdla0,spad,3023157.8181818184,3634337.0454545454,3349564.8181818184,3615900.0454545454,0.55,8,323590.0,21254.0,266335.22727272724,0,468749.99999999994
bev_fusion,matrix,coherent_dma_l2_flush,3634337.0454545454,4398779.590909091,3741009.0454545454,4380213.590909091,0.55,8,73734.0,51504.0,639204.5454545454,327680,664772.7272727273
imu_visual_ekf,gps,coherent_dma,0,4877299.045454545,4419154.590909091,4873700.045454545,0.55,8,52233.0,4370520.590909091,454545.45454545453,0,200000.0
radar_fft,fft0,coherent_dma,0,625088.2727272727,213010.0,610737.2727272727,0.55,8,208905.0,18456.0,397727.2727272727,0,254545.45454545453
world_tracking,ad,coherent_dma,4398779.590909091,5808278.954545454,4441809.590909091,5805445.954545454,0.55,8,43535.0,2328.0,1363636.3636363635,0,490909.0909090909
hazard_decision,vision0,coherent_dma_l2_flush,5808278.954545454,5878696.136363636,5821260.954545454,5878079.136363636,0.55,8,10575.0,3024.0,56818.181818181816,17408,68181.81818181818
side_detect,nvdla1,spad,100,4036829.5454545454,3821543.0454545454,4016855.5454545454,0.55,8,364041.0,3477376.0454545454,195312.49999999997,0,343749.99999999994
