name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
event_denoise,vision1,spad,0,381419.5454545454,167949.0,338403.5454545454,0.55,8,204815.0,6150.0,170454.54545454544,0,204545.45454545453
event_lane,vision0,spad,381419.5454545454,658102.3636363635,399856.5454545454,655538.3636363635,0.55,8,18435.0,2566.0,255681.81818181815,0,306818.18181818177
event_object_detect,nvdla1,spad,381419.5454545454,538722.3636363635,432628.5454545454,532060.3636363635,0.55,8,55305.0,2566.0,99431.81818181818,0,175000.0
temporal_tracking,ad,coherent_dma,538722.3636363635,1358535.909090909,560248.3636363635,1355702.909090909,0.55,8,23055.0,1304.0,795454.5454545454,0,286363.63636363635
hazard_alert,matrix,coherent_dma_l2_flush,1358535.909090909,1375029.9999999998,1362039.909090909,1374823.9999999998,0.55,8,2086.0,1624.0,12784.090909090908,8448,13295.454545454544
