name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
analytics,ad,non_coherent_dma,0,1467413.2727272725,426120.0,1448847.2727272725,0.55,8,270342.0,174344.0,1022727.2727272726,1114112,368181.8181818181
navigation,gps,non_coherent_dma,0,1806561.9999999998,1565841.2727272725,1793113.9999999998,0.55,8,139276.0,1440013.2727272725,227272.72727272726,294912,100000.0
nlp,nlp0,non_coherent_dma,0,2992001.090909091,2441458.0,2938617.090909091,0.55,8,819212.0000000002,1675629.9999999998,497159.0909090909,1703936,596590.909090909
secure,aes0,non_coherent_dma,0,3659792.5454545454,3090426.090909091,3544971.5454545454,0.55,8,98307.0,3106940.090909091,454545.45454545453,1048576,200000.0
vision,nvdla0,non_coherent_dma,0,4288163.363636363,4053129.5454545454,4230686.363636363,0.55,8,278531.0,3832075.5454545454,177556.81818181818,2359296,312500.0
