name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
analytics,ad,coherent_dma_l2_flush,0,1872966.2727272725,819382.0,1842109.2727272725,0.55,8,675855.0,174384.0,1022727.2727272726,1114112,368181.8181818181
navigation,gps,coherent_dma,0,340969.7272727273,106514.0,333786.7272727273,0.55,8,104457.0,9240.0,227272.72727272726,0,100000.0
nlp,nlp0,spad,0,933398.0909090908,409609.0,906768.0909090908,0.55,8,417801.0,18438.0,497159.0909090909,0,596590.909090909
secure,aes0,spad,0,667549.4545454546,139271.0,593816.4545454546,0.55,8,196614.0,16390.0,454545.45454545453,0,200000.0
vision,nvdla0,spad,0,1029436.2727272727,815010.4545454546,992567.2727272727,0.55,8,294918.0,556961.4545454546,177556.81818181818,0,312500.0
