name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
nvdla,nvdla0,spad,0,387134.5,75803.0,377649.5909090909,0.55,8,76061.90909090912,9226.0,301846.5909090909,0,531249.9999999999
nlp,nlp0,spad,200,1046852.5,109841.0,1033136.4545454545,0.55,8,114131.04545454553,9226.0,923295.4545454545,0,1107954.5454545454
vision,vision0,coherent_dma,400,530942.5,93181.0,519317.3636363636,0.55,8,95162.13636363641,9244.0,426136.3636363636,0,511363.6363636363
crypto,crypto,coherent_dma,600,1103276.5,589821.0,1044366.4545454546,0.55,8,101475.54545454541,546655.5,454545.45454545453,0,254545.45454545453
viterbi,viterbi0,coherent_dma,800,715832.5,30305.0,712123.1818181818,0.55,8,28578.318181818235,4636.0,681818.1818181818,0,272727.2727272727
