name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
nir_isp,isp0,spad,0,291553.0,133357.0,246993.36363636365,0.55,8,158608.13636363635,19232.0,113636.36363636363,0,63636.36363636363
face_detect,vision1,spad,291553.0,633923.0,395465.0,622737.7272727273,0.55,8,109716.7727272727,5344.0,227272.72727272726,0,272727.2727272727
eye_gaze_blink,nlp0,coherent_dma,633923.0,722693.0,637211.0,722438.2727272727,0.55,8,2370.227272727294,1120.0,85227.27272727272,0,102272.72727272726
driver_state,nvdla0,coherent_dma,722693.0,756451.0,724325.0,756285.2272727273,0.55,8,1177.272727272706,608.0,31960.22727272727,0,56249.99999999999
attention_alert,matrix,coherent_dma_l2_flush,756451.0,772623.0,758001.0,772205.5454545454,0.55,8,802.9545454545878,1104.0,14204.545454545454,4352,14772.727272727272
hand_tracking,ad,spad,291553.0,1933939.0,796861.0,1933224.6363636362,0.55,8,20388.863636363763,485613.0,1136363.6363636362,0,409090.90909090906
head_pose,vision1,spad,633923.0,2055337.0,1955445.0,2054876.8181818181,0.55,8,21606.68181818188,1300339.0,99431.81818181818,0,119318.18181818181
