name,accelerator,mode,start_ns,end_ns,input_done_ns,compute_done_ns,frequency_ghz,tokens,network_ns,memory_ns,compute_ns,dram_bytes,energy_nj
front_isp,isp0,non_coherent_dma,0,2196081.0,1431297.0,1686978.8181818181,0.55,8,1208032.6818181819,732290.0,255681.81818181815,4684800,143181.81818181815
front_detect,nvdla0,spad,2196081.0,2659055.0,2373727.0,2640062.227272727,0.55,8,175346.27272727294,21280.0,266335.22727272724,0,468749.99999999994
bev_fusion,matrix,coherent_dma_l2_flush,2659055.0,3392427.0,2734189.0,3373393.5454545454,0.55,8,42482.95454545459,51624.0,639204.5454545454,327680,664772.7272727273
imu_visual_ekf,gps,coherent_dma,0,3871895.0,3413501.0,3868046.4545454546,0.55,8,28725.545454545412,3388571.5,454545.45454545453,0,200000.0
radar_fft,fft0,coherent_dma,0,4398497.0,3985921.0,4383648.2727272725,0.55,8,114205.22727272753,3886536.0,397727.2727272727,0,254545.45454545453
world_tracking,ad,coherent_dma,3392427.0,5773575.0,4406927.0,5770563.363636363,0.55,8,23901.136363636702,993590.0,1363636.3636363635,0,490909.0909090909
hazard_decision,vision0,coherent_dma_l2_flush,5773575.0,5839535.0,5781839.0,5838657.181818182,0.55,8,5929.318181818351,3144.0,56818.181818181816,17408,68181.81818181818
side_detect,nvdla1,spad,100,6247255.0,6031329.0,6226641.5,0.55,8,197291.0,5854531.0,195312.49999999997,0,343749.99999999994
